Candidate_ID,Candidate_Name,Constituency_ID,Party_Name
AWW2290924,E. Rahul Singh,6,DMK
TPT7580394,F. Sanjay Kumar,1,AIADMK
YJI9509230,V. Priya Sharma,3,AIADMK
MMK6121553,H. Anil Naidu,3,BJP
DYZ9553815,V. Lakshmi Joshi,2,Independent
HGD0932111,T. Manoj Naidu,5,BRS
WCY1121089,U. Sita Babu,3,AAP
OMC7435547,N. Kiran Sharma,3,CPM
BRO9796426,T. Radha Babu,2,SP
YOT9575065,C. Vijay Verma,7,CPI
VIJ9691569,O. Arun Babu,4,BRS
GCR1463297,H. Suresh Babu,3,CPI
OSY5539769,D. Kavya Verma,3,AIADMK
TKD0849036,D. Kiran Yadav,7,BJP
MRF7085685,O. Vikram Das,6,DMK
LAK6356579,V. Priya Reddy,3,CPM
JBR3713034,Z. Sita Kumar,4,AIADMK
FOU7411874,F. Sneha Das,7,YSRCP
FAF8139410,W. Radha Verma,2,BRS
RMB2047239,W. Manoj Babu,3,BSP
VAD8412743,H. Latha Singh,2,CPI
EYI6022444,X. Ravi Joshi,2,JD(U)
VCE4086031,L. Ravi Singh,1,JD(U)
VPU1755348,V. Anil Sharma,6,DMK
KED9051093,H. Arun Joshi,3,JD(U)
CSM3900961,L. Radha Joshi,8,Independent
ZIN7800701,L. Suresh Joshi,7,DMK
IWP0989022,E. Rahul Naidu,4,CPM
GPM4746381,R. Priya Singh,1,CPI
UTW9445829,A. Kiran Joshi,4,INC
