CON_ID,POLLING_BOOTH_ID,NAME,LOCATION_LAT,LOCATION_LONG,ADDRESS
1,1,"Town Hall, Market Street - Booth No. 1",13.875568,80.643836,"Town Hall, Market Street, East Constituency"
1,2,"Municipal High School, MG Road - Booth No. 2",15.492219,74.3527,"Municipal High School, MG Road, East Constituency"
1,3,"Community Hall, School Area - Booth No. 3",22.344086,72.578017,"Community Hall, School Area, East Constituency"
1,4,"Government Primary School, Temple Road - Booth No. 4",22.241925,75.351655,"Government Primary School, Temple Road, East Constituency"
1,5,"Library Building, Park View - Booth No. 5",18.686898,80.010472,"Library Building, Park View, East Constituency"
1,6,"Government Girls High School, Lakshmi Colony - Booth No. 6",24.795913,83.350686,"Government Girls High School, Lakshmi Colony, East Constituency"
1,7,"Community Hall, Hospital Road - Booth No. 7",16.77763,84.819637,"Community Hall, Hospital Road, East Constituency"
1,8,"Municipal High School, Hospital Road - Booth No. 8",24.93796,83.133955,"Municipal High School, Hospital Road, East Constituency"
1,9,"Government Girls High School, Ambedkar Chowk - Booth No. 9",19.791963,78.328458,"Government Girls High School, Ambedkar Chowk, East Constituency"
1,10,"Zilla Parishad School, Lakshmi Colony - Booth No. 10",18.489547,75.65209,"Zilla Parishad School, Lakshmi Colony, East Constituency"
1,11,"Panchayat Bhawan, Lakshmi Colony - Booth No. 11",19.439887,76.761235,"Panchayat Bhawan, Lakshmi Colony, East Constituency"
1,12,"Temple Hall, Ambedkar Chowk - Booth No. 12",24.799399,75.082335,"Temple Hall, Ambedkar Chowk, East Constituency"
1,13,"Government Primary School, Ambedkar Chowk - Booth No. 13",27.258354,75.375474,"Government Primary School, Ambedkar Chowk, East Constituency"
1,14,"Municipal High School, Ambedkar Chowk - Booth No. 14",15.36138,85.62248,"Municipal High School, Ambedkar Chowk, East Constituency"
1,15,"Anganwadi Centre, MG Road - Booth No. 15",27.207147,80.479462,"Anganwadi Centre, MG Road, East Constituency"
1,16,"Municipal High School, Park View - Booth No. 16",15.930906,78.698689,"Municipal High School, Park View, East Constituency"
1,17,"Community Hall, School Area - Booth No. 17",19.813549,79.694618,"Community Hall, School Area, East Constituency"
1,18,"Temple Hall, Station Area - Booth No. 18",25.969593,85.936149,"Temple Hall, Station Area, East Constituency"
1,19,"Panchayat Bhawan, Ambedkar Chowk - Booth No. 19",22.244863,73.801783,"Panchayat Bhawan, Ambedkar Chowk, East Constituency"
1,20,"Library Building, Gandhi Nagar - Booth No. 20",24.03077,73.707657,"Library Building, Gandhi Nagar, East Constituency"
1,21,"Anganwadi Centre, Park View - Booth No. 21",17.24825,82.611789,"Anganwadi Centre, Park View, East Constituency"
1,22,"Library Building, Lakshmi Colony - Booth No. 22",25.473537,82.735618,"Library Building, Lakshmi Colony, East Constituency"
1,23,"Government Girls High School, Park View - Booth No. 23",19.641944,72.095824,"Government Girls High School, Park View, East Constituency"
1,24,"Library Building, Hospital Road - Booth No. 24",19.417498,74.103973,"Library Building, Hospital Road, East Constituency"
1,25,"Panchayat Bhawan, Temple Road - Booth No. 25",16.599135,76.249113,"Panchayat Bhawan, Temple Road, East Constituency"
1,26,"Community Hall, Station Area - Booth No. 26",19.958609,78.485365,"Community Hall, Station Area, East Constituency"
1,27,"Panchayat Bhawan, Station Area - Booth No. 27",25.250676,86.004248,"Panchayat Bhawan, Station Area, East Constituency"
1,28,"Panchayat Bhawan, Hospital Road - Booth No. 28",26.742358,74.40409,"Panchayat Bhawan, Hospital Road, East Constituency"
1,29,"Town Hall, School Area - Booth No. 29",26.535582,83.07678,"Town Hall, School Area, East Constituency"
1,30,"Government Girls High School, Temple Road - Booth No. 30",16.046935,79.833563,"Government Girls High School, Temple Road, East Constituency"
1,31,"Government Girls High School, Temple Road - Booth No. 31",18.082963,72.096757,"Government Girls High School, Temple Road, East Constituency"
1,32,"Panchayat Bhawan, School Area - Booth No. 32",20.902382,81.475986,"Panchayat Bhawan, School Area, East Constituency"
1,33,"Government Primary School, Lakshmi Colony - Booth No. 33",19.015899,87.532488,"Government Primary School, Lakshmi Colony, East Constituency"
1,34,"Library Building, School Area - Booth No. 34",12.569182,80.324037,"Library Building, School Area, East Constituency"
1,35,"Anganwadi Centre, School Area - Booth No. 35",14.289694,72.909629,"Anganwadi Centre, School Area, East Constituency"
1,36,"Community Hall, Lakshmi Colony - Booth No. 36",22.456651,86.488518,"Community Hall, Lakshmi Colony, East Constituency"
1,37,"Zilla Parishad School, Park View - Booth No. 37",15.424776,77.769863,"Zilla Parishad School, Park View, East Constituency"
1,38,"Zilla Parishad School, Hospital Road - Booth No. 38",16.272128,78.566548,"Zilla Parishad School, Hospital Road, East Constituency"
1,39,"Zilla Parishad School, Ambedkar Chowk - Booth No. 39",20.485444,80.394154,"Zilla Parishad School, Ambedkar Chowk, East Constituency"
1,40,"Panchayat Bhawan, MG Road - Booth No. 40",27.252983,79.971092,"Panchayat Bhawan, MG Road, East Constituency"
1,41,"Government Primary School, Market Street - Booth No. 41",25.783102,73.417259,"Government Primary School, Market Street, East Constituency"
1,42,"Town Hall, MG Road - Booth No. 42",18.053002,85.052791,"Town Hall, MG Road, East Constituency"
1,43,"Town Hall, Temple Road - Booth No. 43",25.587888,79.760808,"Town Hall, Temple Road, East Constituency"
1,44,"Government Primary School, Ambedkar Chowk - Booth No. 44",16.115035,85.436334,"Government Primary School, Ambedkar Chowk, East Constituency"
1,45,"Municipal High School, Hospital Road - Booth No. 45",22.35668,81.247561,"Municipal High School, Hospital Road, East Constituency"
1,46,"Temple Hall, Temple Road - Booth No. 46",12.609918,84.773854,"Temple Hall, Temple Road, East Constituency"
1,47,"Community Hall, Park View - Booth No. 47",23.451716,72.15715,"Community Hall, Park View, East Constituency"
1,48,"Anganwadi Centre, Lakshmi Colony - Booth No. 48",25.087042,75.949119,"Anganwadi Centre, Lakshmi Colony, East Constituency"
1,49,"Library Building, Park View - Booth No. 49",19.722993,73.180778,"Library Building, Park View, East Constituency"
1,50,"Government Primary School, Park View - Booth No. 50",14.472714,81.909649,"Government Primary School, Park View, East Constituency"
1,51,"Temple Hall, Temple Road - Booth No. 51",26.416636,73.440383,"Temple Hall, Temple Road, East Constituency"
1,52,"Community Hall, Temple Road - Booth No. 52",13.768489,79.222801,"Community Hall, Temple Road, East Constituency"
1,53,"Government Primary School, Station Area - Booth No. 53",15.62227,78.739995,"Government Primary School, Station Area, East Constituency"
1,54,"Community Hall, Lakshmi Colony - Booth No. 54",27.812323,72.883919,"Community Hall, Lakshmi Colony, East Constituency"
1,55,"Town Hall, Market Street - Booth No. 55",14.23055,82.261078,"Town Hall, Market Street, East Constituency"
1,56,"Anganwadi Centre, Lakshmi Colony - Booth No. 56",17.7862,86.579338,"Anganwadi Centre, Lakshmi Colony, East Constituency"
1,57,"Anganwadi Centre, Temple Road - Booth No. 57",15.146101,80.387756,"Anganwadi Centre, Temple Road, East Constituency"
1,58,"Library Building, Temple Road - Booth No. 58",15.856435,78.514747,"Library Building, Temple Road, East Constituency"
