CON_ID,POLLING_BOOTH_ID,NAME,LOCATION_LAT,LOCATION_LONG,ADDRESS
1,1,"Town Hall, Temple Road - Booth No. 1",19.868597,77.704113,"Town Hall, Temple Road, East Constituency"
1,2,"Government Girls High School, School Area - Booth No. 2",14.793435,73.64037,"Government Girls High School, School Area, East Constituency"
1,3,"Panchayat Bhawan, MG Road - Booth No. 3",18.973787,87.078861,"Panchayat Bhawan, MG Road, East Constituency"
1,4,"Community Hall, Market Street - Booth No. 4",15.253632,80.821687,"Community Hall, Market Street, East Constituency"
1,5,"Panchayat Bhawan, MG Road - Booth No. 5",18.260531,83.405177,"Panchayat Bhawan, MG Road, East Constituency"
1,6,"Temple Hall, School Area - Booth No. 6",27.488433,87.548155,"Temple Hall, School Area, East Constituency"
1,7,"Community Hall, Park View - Booth No. 7",15.636901,79.665859,"Community Hall, Park View, East Constituency"
1,8,"Town Hall, Park View - Booth No. 8",22.722976,75.361349,"Town Hall, Park View, East Constituency"
1,9,"Anganwadi Centre, Lakshmi Colony - Booth No. 9",24.94278,78.443887,"Anganwadi Centre, Lakshmi Colony, East Constituency"
1,10,"Government Primary School, Temple Road - Booth No. 10",24.947155,86.64482,"Government Primary School, Temple Road, East Constituency"
1,11,"Zilla Parishad School, Gandhi Nagar - Booth No. 11",12.169603,78.063939,"Zilla Parishad School, Gandhi Nagar, East Constituency"
1,12,"Library Building, School Area - Booth No. 12",27.492661,76.697821,"Library Building, School Area, East Constituency"
1,13,"Zilla Parishad School, Station Area - Booth No. 13",25.316304,82.746046,"Zilla Parishad School, Station Area, East Constituency"
1,14,"Municipal High School, Lakshmi Colony - Booth No. 14",27.483862,85.02042,"Municipal High School, Lakshmi Colony, East Constituency"
1,15,"Government Girls High School, MG Road - Booth No. 15",16.792987,74.520241,"Government Girls High School, MG Road, East Constituency"
1,16,"Zilla Parishad School, Gandhi Nagar - Booth No. 16",19.493732,74.430916,"Zilla Parishad School, Gandhi Nagar, East Constituency"
